year,country,city,stage,home_team,away_team,home_score,away_score,outcome,win_conditions,winning_team,losing_team,date,month,dayofweek
2022,Qatar,Al Rayyan,Group H,KOREA REPUBLIC,GHANA,2,3,A,,GHANA,KOREA REPUBLIC,28-11-2022,Nov,Monday
2022,Qatar,Doha,Group G,BRAZIL,SWITZERLAND,1,0,H,,BRAZIL,SWITZERLAND,28-11-2022,Nov,Monday
2022,Qatar,Lusail,Group H,PORTUGAL,URUGUAY,2,0,H,,PORTUGAL,URUGUAY,29-11-2022,Nov,Tuesday
2022,Qatar,Al Khor,Group A,NETHERLANDS,QATAR,2,0,H,,NETHERLANDS,QATAR,29-11-2022,Nov,Tuesday
2022,Qatar,Al Rayyan,Group A,ECUADOR,SENEGAL,1,2,A,,SENEGAL,ECUADOR,29-11-2022,Nov,Tuesday
2022,Qatar,Al Rayyan,Group B,WALES,ENGLAND,0,3,A,,ENGLAND,WALES,30-11-2022,Nov,Wednesday
2022,Qatar,Doha,Group B,IRAN,UNITED STATES,0,1,A,,UNITED STATES,IRAN,30-11-2022,Nov,Wednesday
2022,Qatar,Al Wakrah,Group D,AUSTRALIA,DENMARK,1,0,H,,AUSTRALIA,DENMARK,30-11-2022,Nov,Wednesday
2022,Qatar,Al Rayyan,Group D,TUNISIA,France,1,0,H,,TUNISIA,France,30-11-2022,Nov,Wednesday
2022,Qatar,Doha,Group C,POLAND,Argentina,0,2,A,,Argentina,POLAND,01-12-2022,Dec,Thursday
2022,Qatar,Lusail,Group C,SAUDI ARABIA,MEXICO,1,2,A,,MEXICO,SAUDI ARABIA,01-12-2022,Dec,Thursday
2022,Qatar,Al Rayyan,Group F,CROATIA,BELGIUM,0,0,A,,NA,NA,01-12-2022,Dec,Thursday
2022,Qatar,Doha,Group F,CANADA,MOROCCO,1,2,A,,MOROCCO,CANADA,01-12-2022,Dec,Thursday
2022,Qatar,Al Rayyan,Group E,JAPAN,SPAIN,2,1,H,,JAPAN,SPAIN,02-12-2022,Dec,Friday
2022,Qatar,Al Khor,Group E,COSTA RICA,GERMANY,2,4,A,,GERMANY,COSTA RICA,02-12-2022,Dec,Friday
2022,Qatar,Al Wakrah,Group H,GHANA,URUGUAY,0,2,A,,URUGUAY,GHANA,02-12-2022,Dec,Friday
2022,Qatar,Al Rayyan,Group H,KOREA REPUBLIC,PORTUGAL,2,1,H,,KOREA REPUBLIC,PORTUGAL,02-12-2022,Dec,Friday
